    81     -0.94402588E-05      0.59162083E-06      0.60211878E-07     -0.32763000E-04     -0.18381515E-02      0.19064081E-03
    82     -0.93418055E-05      0.57753243E-06      0.58778039E-07     -0.32365722E-04     -0.18163961E-02      0.18598378E-03
    83     -0.92455493E-05      0.56393360E-06      0.57394026E-07     -0.31977965E-04     -0.17951249E-02      0.18149020E-03
    84     -0.91514208E-05      0.55080243E-06      0.56057608E-07     -0.31599391E-04     -0.17743234E-02      0.17715268E-03
    85     -0.90593533E-05      0.53811815E-06      0.54766674E-07     -0.31229676E-04     -0.17539774E-02      0.17296427E-03
    86     -0.89692828E-05      0.52586118E-06      0.53519226E-07     -0.30868515E-04     -0.17340733E-02      0.16891838E-03
    87     -0.88811478E-05      0.51401292E-06      0.52313377E-07     -0.30515613E-04     -0.17145980E-02      0.16500878E-03
    88     -0.87948893E-05      0.50255581E-06      0.51147335E-07     -0.30170689E-04     -0.16955391E-02      0.16122957E-03
    89     -0.87104505E-05      0.49147317E-06      0.50019407E-07     -0.29833478E-04     -0.16768842E-02      0.15757515E-03
    90     -0.86277768E-05      0.48074922E-06      0.48927982E-07     -0.29503722E-04     -0.16586219E-02      0.15404024E-03
    91     -0.85468156E-05      0.47036896E-06      0.47871538E-07     -0.29181177E-04     -0.16407408E-02      0.15061981E-03
    92     -0.84675166E-05      0.46031819E-06      0.46848626E-07     -0.28865609E-04     -0.16232301E-02      0.14730909E-03
    93     -0.83898310E-05      0.45058338E-06      0.45857871E-07     -0.28556794E-04     -0.16060794E-02      0.14410356E-03
    94     -0.83137122E-05      0.44115173E-06      0.44897970E-07     -0.28254518E-04     -0.15892786E-02      0.14099893E-03
    95     -0.82391151E-05      0.43201102E-06      0.43967679E-07     -0.27958576E-04     -0.15728178E-02      0.13799111E-03
    96     -0.81659962E-05      0.42314967E-06      0.43065820E-07     -0.27668769E-04     -0.15566879E-02      0.13507622E-03
    97     -0.80943138E-05      0.41455664E-06      0.42191270E-07     -0.27384909E-04     -0.15408797E-02      0.13225057E-03
    98     -0.80240275E-05      0.40622143E-06      0.41342959E-07     -0.27106815E-04     -0.15253844E-02      0.12951064E-03
    99     -0.79550986E-05      0.39813405E-06      0.40519870E-07     -0.26834314E-04     -0.15101936E-02      0.12685310E-03
   100     -0.78874895E-05      0.39028496E-06      0.39721033E-07     -0.26567237E-04     -0.14952992E-02      0.12427475E-03
   101     -0.78211641E-05      0.38266509E-06      0.38945525E-07     -0.26305425E-04     -0.14806933E-02      0.12177256E-03
   102     -0.77560875E-05      0.37526577E-06      0.38192463E-07     -0.26048724E-04     -0.14663682E-02      0.11934363E-03
   103     -0.76922260E-05      0.36807875E-06      0.37461008E-07     -0.25796984E-04     -0.14523167E-02      0.11698521E-03
   104     -0.76295471E-05      0.36109615E-06      0.36750358E-07     -0.25550065E-04     -0.14385315E-02      0.11469466E-03
   105     -0.75680195E-05      0.35431043E-06      0.36059746E-07     -0.25307828E-04     -0.14250058E-02      0.11246946E-03
   106     -0.75076127E-05      0.34771442E-06      0.35388441E-07     -0.25070141E-04     -0.14117329E-02      0.11030723E-03
   107     -0.74482976E-05      0.34130125E-06      0.34735743E-07     -0.24836879E-04     -0.13987064E-02      0.10820565E-03
   108     -0.73900457E-05      0.33506435E-06      0.34100986E-07     -0.24607917E-04     -0.13859201E-02      0.10616255E-03
   109     -0.73328297E-05      0.32899744E-06      0.33483530E-07     -0.24383139E-04     -0.13733678E-02      0.10417583E-03
   110     -0.72766231E-05      0.32309452E-06      0.32882764E-07     -0.24162430E-04     -0.13610438E-02      0.10224348E-03
   111     -0.72214003E-05      0.31734985E-06      0.32298103E-07     -0.23945682E-04     -0.13489424E-02      0.10036359E-03
   112     -0.71671364E-05      0.31175793E-06      0.31728989E-07     -0.23732788E-04     -0.13370580E-02      0.98534328E-04
